"var004","var031","var145","var189","target","var005","var008","var009","var024","var044","var045","var072","var074","var125","var130","var170","var175","var178","target"
"b","1","1","0",-0.56,8.95,0.239,0.992,4.58,8.94,5.05,8.78,18.4,7.22,-2.54,16.9,-3.47,-6.53,-0.56
"b","1","0","1",-0.758,8.95,-0.0417,0.452,4.69,6.7,7.22,12.5,11.7,7.27,-2.93,12,-3.54,-6.16,-0.758
"b","0","0","0",0.877,8.94,0.288,-9.81,4.83,2.58,9.55,4.04,6.85,7.4,-3.24,17.7,-3.48,-8.12,0.877
"b","1","1","1",-0.827,8.92,1.14,1.33,5,17.9,8.26,5.39,-6.69,7.6,-3.43,15.5,-3.29,-7.93,-0.827
"b","1","0","1",-0.554,8.89,0.724,-4.08,5.2,8.58,7.69,8.19,16.3,7.86,-3.5,7.3,-2.98,-6.02,-0.554
"b","1","1","0",-1.48,8.87,0.561,-2.67,5.41,1.52,3.31,3.85,15.5,8.14,-3.44,14.6,-2.61,-6.74,-1.48
"b","1","0","1",1.43,8.85,2.69,-5.26,5.62,1.3,11.2,8.43,-10.4,8.4,-3.27,22.2,-2.19,-5.67,1.43
"b","0","1","0",0.156,8.84,0.9,0.181,5.83,12.1,7.82,4.91,7.3,8.62,-3.02,19.6,-1.79,-7.06,0.156
"b","1","1","1",0.447,8.84,0.0924,0.0954,6.02,15,9.26,11.8,10.7,8.77,-2.74,20.9,-1.41,-7.33,0.447
"b","0","1","0",0.488,8.86,2.34,-4.47,6.18,9.15,2.25,6.4,-8.64,8.83,-2.47,17.8,-1.1,-6.29,0.488
"c","0","0","0",-0.305,8.9,-0.253,-3.97,6.32,-7.31,5.77,10.2,26.1,8.81,-2.25,13.9,-0.854,-7.12,-0.305
"c","0","1","0",-0.808,8.95,0.23,-1.12,6.41,17.9,2.34,8.16,4.72,8.73,-2.1,10.3,-0.694,-7.71,-0.808
"b","0","0","0",0.734,9,0.201,-1.93,6.47,17.6,7.11,10.8,4.11,8.63,-2.02,21.7,-0.619,-6.4,0.734
"c","0","0","0",-0.199,9.06,2.04,-1.53,6.48,7.57,2.12,13.6,3.63,8.52,-1.99,8.13,-0.625,-7.55,-0.199
"b","0","0","1",-0.108,9.11,-0.247,-1.23,6.45,16.2,4.77,2.83,23.9,8.44,-2.01,17.5,-0.704,-6.26,-0.108
"b","0","1","1",-0.503,9.15,1.38,0.00853,6.4,20.2,5.51,9.14,3.63,8.39,-2.04,7.11,-0.85,-7.37,-0.503
"b","1","0","0",-0.21,9.17,-0.516,-3.35,6.33,-7.14,5.59,9.02,14.4,8.37,-2.08,8.5,-1.06,-7.01,-0.21
"b","0","1","0",0.241,9.17,1.14,-0.966,6.25,15.7,6.06,7.33,9.03,8.4,-2.09,17.9,-1.32,-7.06,0.241
"b","1","0","0",-0.61,9.16,0.54,2.04,6.19,8.46,1.62,7.78,13.1,8.46,-2.07,20,-1.64,-7.59,-0.61
"b","0","0","0",1.51,9.13,2.28,-0.5,6.15,8.65,14,8.34,15,8.53,-2.02,20.9,-2,-8.5,1.51
"c","0","1","1",2.89,9.1,2.27,-1,6.15,6.58,6.28,8.33,-3.92,8.61,-1.94,23.7,-2.38,-6.91,2.89
"c","1","0","0",-0.765,9.06,1.26,-1.46,6.17,8.04,1.51,6,17.5,8.65,-1.85,13.1,-2.75,-9.23,-0.765
"b","1","0","1",0.0128,9.03,-0.486,-0.955,6.22,-3.77,3.35,12.6,6.06,8.63,-1.75,16.6,-3.08,-6.24,0.0128
"b","0","1","1",-0.44,9.01,1.02,-7.99,6.29,2.47,3.1,4.85,-0.119,8.55,-1.63,17.8,-3.34,-7.99,-0.44
"b","1","0","0",-0.921,9,2.58,6.22,6.36,5.79,6.36,9.05,1.58,8.39,-1.52,21.5,-3.52,-7.73,-0.921
"b","1","0","0",-0.487,8.99,-0.0405,-2.58,6.44,14.7,5.07,10.2,14.6,8.16,-1.4,7.55,-3.6,-8.21,-0.487
"c","1","1","0",-0.393,9,2.48,2.19,6.5,17.5,2.29,10.7,1.23,7.9,-1.31,18,-3.58,-6.06,-0.393
"b","0","1","1",-1.16,9.02,2.45,-1.23,6.54,18.9,5.18,4.73,20,7.64,-1.26,8.48,-3.46,-6.98,-1.16
"b","1","0","1",-0.414,9.06,2.04,0.463,6.55,1.15,2.16,14.2,14.4,7.4,-1.25,19.1,-3.26,-7.26,-0.414
"c","0","0","0",-1.44,9.1,2.44,3.31,6.54,15,3.57,6.95,1.95,7.22,-1.27,7.49,-3.03,-6.4,-1.44
"b","0","1","0",-0.597,9.14,1.08,-4.82,6.49,11.8,5.84,10.6,14.4,7.13,-1.34,17,-2.79,-7.79,-0.597
"b","0","1","0",0.637,9.19,2.59,-3.04,6.42,-3.7,11.3,3.2,19.4,7.13,-1.44,8.41,-2.58,-6.92,0.637
"c","1","1","0",-1.22,9.24,0.258,2.42,6.32,15.6,8.84,9.17,6.63,7.23,-1.55,9.42,-2.42,-6.58,-1.22
"b","0","1","0",-0.66,9.29,-0.111,-2.76,6.2,10.6,1.81,5.18,14.5,7.4,-1.66,21.5,-2.33,-6.6,-0.66
"b","1","0","0",0.0956,9.33,1.06,-0.551,6.07,6.11,7.9,10.6,5.54,7.63,-1.74,8.54,-2.33,-7.55,0.0956
"c","0","1","0",-0.413,9.37,1.44,-1.15,5.94,3.67,5.42,2.98,14.1,7.91,-1.79,21.6,-2.41,-7.6,-0.413
"c","1","1","1",1.39,9.39,0.256,3.69,5.83,4.7,6.91,10.6,18.8,8.2,-1.81,19.9,-2.57,-8.75,1.39
"c","1","0","0",0.537,9.41,0.739,-0.0652,5.74,7.28,12.9,9.38,22.2,8.47,-1.82,16.6,-2.77,-8.03,0.537
"b","1","1","0",-1.1,9.42,0.149,-2.39,5.68,11.5,9.36,9.17,4.68,8.71,-1.82,15.5,-2.98,-5.88,-1.1
"c","0","0","1",1.76,9.42,-0.434,-1.78,5.63,-6.89,5.11,7.8,8.63,8.88,-1.84,9.56,-3.18,-7.4,1.76
"b","0","1","0",-0.58,9.41,2.01,-1.77,5.59,3.34,3.56,8.85,11.9,8.97,-1.86,14.1,-3.33,-6.74,-0.58
"b","1","0","1",0.167,9.39,2.04,-0.279,5.56,7.9,8.2,9.18,7.8,8.97,-1.88,16.8,-3.43,-5.43,0.167
"c","1","0","0",0.335,9.35,2.33,-0.384,5.54,14.5,6.99,6.39,1.37,8.89,-1.89,15.8,-3.48,-7.45,0.335
"b","1","0","1",-0.116,9.31,0.356,-5.65,5.51,4.63,6.82,6.73,-3.47,8.73,-1.88,11.5,-3.5,-5.56,-0.116
"b","1","1","0",-1.15,9.26,-0.503,1.14,5.5,13.3,4.14,5.58,9.28,8.52,-1.86,7.68,-3.51,-7.27,-1.15
"c","1","0","0",-1.33,9.21,1.48,-2.15,5.49,3.87,4.89,12,1.72,8.29,-1.84,14,-3.53,-6.73,-1.33
"b","0","0","1",0.335,9.16,0.978,-2.68,5.5,6.41,11,11.1,1.17,8.08,-1.85,5.64,-3.54,-5.85,0.335
"c","1","1","0",-0.519,9.11,1,-3.17,5.52,0.644,12.2,5.66,7.95,7.92,-1.89,14.1,-3.56,-6.59,-0.519
"c","1","1","0",-0.3,9.07,-0.436,-5.34,5.56,10,9.68,8.71,2.92,7.8,-1.96,17.8,-3.54,-6.75,-0.3
"b","1","0","0",-1.59,9.04,0.373,0.192,5.62,14.7,4,6.32,-1.21,7.75,-2.08,12.9,-3.5,-6.21,-1.59
"b","1","0","0",-0.707,9.02,0.689,0.7,5.68,7.76,5.19,11.5,-3.41,7.75,-2.21,15.8,-3.41,-7.37,-0.707
"b","0","0","1",0.268,9,0.639,-4.61,5.76,10.3,12.3,14.5,1.59,7.79,-2.36,17,-3.29,-7.66,0.268
"b","1","0","0",-1.16,8.99,0.0161,2.63,5.83,19.7,4.26,7.44,10.9,7.86,-2.51,6.58,-3.13,-7.74,-1.16
"b","1","0","0",-0.218,8.98,2.6,-2.44,5.9,-3.28,2.37,6.47,-0.704,7.94,-2.64,13.5,-2.93,-7.5,-0.218
"b","1","1","0",-1.15,8.97,1.04,-1.64,5.93,11.8,2.05,7.45,7.42,8.04,-2.73,11.3,-2.69,-7.01,-1.15
"b","1","0","0",-0.762,8.96,-0.102,0.127,5.94,6.13,5.58,11.5,3.05,8.15,-2.78,13.6,-2.43,-8.58,-0.762
"c","1","1","0",-0.263,8.95,1.03,-7.33,5.91,14.8,11.9,4.03,17.8,8.27,-2.77,7.51,-2.17,-6.75,-0.263
"b","1","1","0",-0.88,8.94,1.65,0.248,5.85,10.9,8.81,11.5,17,8.41,-2.71,7.04,-1.92,-7.65,-0.88
"b","0","0","0",0.167,8.94,1.18,-0.751,5.77,1.43,13.2,2.77,6.74,8.56,-2.62,6.77,-1.72,-5.13,0.167
"b","1","0","0",-0.565,8.94,1.8,-3.31,5.68,11.1,8.38,7.42,9.53,8.7,-2.51,16.1,-1.57,-6.86,-0.565
"b","0","0","0",-0.671,8.95,0.536,-1.05,5.59,15.8,1.78,6.62,14.5,8.81,-2.4,12.7,-1.48,-9.54,-0.671
"c","0","0","0",-0.21,8.96,-0.243,3.33,5.52,8.74,6.16,12.3,17.8,8.87,-2.3,19.9,-1.46,-7.56,-0.21
"b","0","1","1",-0.348,8.97,1.05,-2.7,5.47,11.6,12,12.9,-4.13,8.84,-2.22,11.9,-1.5,-7.34,-0.348
"c","1","1","0",0.00731,8.99,1.76,-3.06,5.44,2.79,13.2,3.9,14.4,8.7,-2.16,9.99,-1.61,-6.24,0.00731
"b","1","1","0",-1.28,9,0.391,1.97,5.46,7.44,7.89,5.15,21.9,8.44,-2.09,14,-1.78,-6.29,-1.28
"b","0","1","0",-0.805,9.01,0.913,-4.21,5.54,15.9,7.73,15.6,8.77,8.07,-2.03,11.2,-2.01,-7.2,-0.805
"b","0","0","1",-0.582,9.01,0.932,2.24,5.67,13.9,13.7,5.03,14.9,7.61,-1.95,15.2,-2.29,-5.52,-0.582
"c","0","1","0",-0.501,9.02,1.58,-4.42,5.86,4.54,9.61,7.35,-5.64,7.12,-1.86,17.4,-2.58,-7.16,-0.501
"b","1","1","0",-0.262,9.02,-0.493,-1.75,6.1,7.67,6.49,11.8,4.21,6.62,-1.75,8.2,-2.86,-7.73,-0.262
"b","0","1","0",-1.6,9.01,-0.00237,0.115,6.38,8.1,2.43,10.3,14.7,6.17,-1.63,7.78,-3.07,-7.85,-1.6
"b","1","0","0",-0.0103,8.99,2.59,2.18,6.67,1.55,9.56,7.61,2.17,5.79,-1.49,5.21,-3.19,-7.18,-0.0103
"c","0","0","0",0.0148,8.97,0.401,-0.937,6.96,9.19,11.7,-1.4,13.8,7.46,-1.34,17.6,-3.19,-5.64,0.0148
"b","0","0","0",0.196,8.94,0.809,0.336,7.21,7.91,6.27,12.2,17,5.42,-1.19,12.8,-3.09,-6.86,0.196
"c","0","1","0",-0.0169,8.9,2.22,-2.12,7.4,11.4,5.27,14.1,25.1,5.47,-1.03,20.5,-2.89,-6.12,-0.0169
"b","1","1","0",-0.602,8.87,0.574,-2.23,7.52,7.5,7.8,8.88,6.9,5.67,-0.867,7.86,-2.64,-7.92,-0.602
"b","0","1","0",-1.36,8.84,0.133,2.03,7.55,10.1,5.03,14.9,18.8,6.02,-0.716,10.1,-2.37,-7.09,-1.36
"b","1","0","0",0.258,8.81,1.78,1.22,7.49,-3.52,12.6,3.1,4.56,6.48,-0.585,13.4,-2.12,-7.25,0.258
"c","1","1","0",0.503,8.79,1.88,6.27,7.37,3.25,4.5,10.9,7.48,7.01,-0.489,23.4,-1.92,-6.18,0.503
"b","0","1","0",1.23,8.77,0.728,-2.31,7.18,-1.75,14,8.37,-1.84,7.59,-0.445,13.8,-1.79,-9.22,1.23
"b","0","1","0",-0.54,8.76,0.757,-0.153,6.96,13.9,5.03,9.23,-4.44,8.17,-0.469,21.3,-1.72,-6.49,-0.54
"b","0","0","1",-0.00238,8.75,0.313,-2.09,6.71,2.79,5.06,8.78,-8.55,8.72,-0.563,21.6,-1.72,-7.68,-0.00238
"b","1","0","0",0.0467,8.73,1.71,1.01,6.2,8.14,5.46,8.77,20.7,9.2,-0.72,12,-1.78,-7.6,0.0467
"b","1","1","0",-0.0542,8.73,0.0899,-2.97,6.26,6.47,7.06,6.31,6.23,9.57,-0.917,21.6,-1.91,-8.43,-0.0542
"b","1","0","0",0.466,8.73,-0.321,-1.64,6.07,0.411,6.4,16.4,-2.52,9.82,-1.12,20.8,-2.08,-6.27,0.466
"c","0","0","1",2.82,8.74,1.88,-0.937,5.94,3.68,7.2,3.76,23.3,9.94,-1.31,7.59,-2.3,-6.18,2.82
"b","1","0","0",-1.06,8.75,0.279,-5.8,5.87,6.8,2.25,5.42,9.07,9.92,-1.45,8.94,-2.52,-7.69,-1.06
"b","0","0","0",0.573,8.78,2.63,-3.27,5.87,4.44,13.5,3.24,22.7,9.79,-1.52,13.9,-2.74,-8.4,0.573
"b","1","0","0",0.729,8.8,2.74,-1.45,5.93,11.9,9.53,5.4,26.4,9.54,-1.52,17.1,-2.93,-5.98,0.729
"b","1","1","0",-0.436,8.83,0.471,-5.51,6.05,13.9,4.58,-4.18,-12.5,9.21,-1.46,11.1,-3.07,-6.22,-0.436
"c","0","0","0",1.15,8.85,2.18,-3.8,6.2,12.3,1.94,2.06,16.3,8.8,-1.36,23.5,-3.15,-6.73,1.15
"c","1","1","0",-0.589,8.86,-0.0951,-0.731,6.37,3.83,10.2,-1.37,20.2,8.37,-1.24,12.1,-3.17,-6.93,-0.589
"c","0","1","0",0.0785,8.85,2.04,0.854,6.53,15.8,7.4,-2.06,2.78,7.93,-1.14,5.58,-3.12,-7.2,0.0785
"c","0","1","0",-0.0565,8.83,-0.283,-0.937,6.67,14.4,4.18,7.22,18.1,7.52,-1.08,21.1,-3,-6.68,-0.0565
"b","1","0","0",0.856,8.8,2.2,-2.78,6.77,1.56,9.93,7.87,3.17,7.16,-1.08,15.2,-2.84,-8.75,0.856
"b","1","1","0",-0.241,8.76,1.22,-0.801,6.84,15.6,4.58,14.8,3.52,6.85,-1.17,21.9,-2.64,-7.53,-0.241
"b","0","1","0",0.423,8.72,0.474,-3.59,6.89,-2.94,10.7,7.23,6.04,6.6,-1.33,5.62,-2.44,-5.94,0.423
"b","0","1","0",-0.355,8.69,-0.0766,-1.98,6.9,3.14,3.78,14.5,17.2,6.42,-1.55,19.4,-2.24,-7.31,-0.355
"c","0","0","0",0.571,8.66,2.67,-0.184,6.89,4.59,6.47,2.47,-16.1,6.32,-1.81,12.7,-2.07,-6.04,0.571
"b","1","0","0",1.04,8.65,2.02,-2.62,6.86,1.92,13,6.45,13.2,6.32,-2.09,10.5,-1.94,-6.76,1.04
"b","1","1","0",-0.939,8.66,0.527,-1.17,6.79,1.04,3.95,5.52,8.73,6.41,-2.35,5.31,-1.85,-6.66,-0.939
"c","1","1","0",-0.0799,8.69,0.896,-1.98,6.69,5.56,2.46,12.4,5.81,6.6,-2.59,12,-1.81,-5.64,-0.0799
"b","1","1","0",0.875,8.73,0.0121,-2.1,6.57,-2.34,14,2.96,-2.92,6.89,-2.77,17.3,-1.84,-6.6,0.875
"b","0","0","0",0.545,8.78,2.49,-4.7,6.43,6.69,13.9,3.82,10.2,7.27,-2.9,5.47,-1.91,-7.51,0.545
"c","0","1","1",3.03,8.84,2.44,-5.37,6.27,-2.8,14,14.5,-0.582,7.7,-2.98,18.5,-2.03,-8.52,3.03
"b","1","0","0",0.852,8.91,2.6,-5.58,6.13,3.21,11.7,3.64,12.5,8.17,-3.01,7.68,-2.19,-6.48,0.852
"b","0","0","1",-0.49,8.97,0.547,-4.71,6,14.2,11.8,8.67,18.3,8.63,-3,7.29,-2.36,-7.96,-0.49
"b","1","0","1",-0.673,9.03,1.16,-0.958,5.9,11.5,10.8,12.2,4.57,9.04,-2.95,9.5,-2.54,-8.34,-0.673
"b","1","1","0",-0.683,9.07,0.575,0.409,5.83,19,6.17,6.5,6.49,9.37,-2.87,20.4,-2.71,-6.73,-0.683
"c","0","0","0",-1.45,9.11,0.555,0.898,5.79,8.46,3.32,15.9,22.3,9.59,-2.74,7.1,-2.85,-5.91,-1.45
"b","0","0","0",0.225,9.15,1.42,-0.853,5.78,7.87,12.6,3.39,-1.7,9.69,-2.58,12.4,-2.96,-7.54,0.225
"b","0","0","0",-0.0328,9.17,0.104,-2.97,5.79,7.51,1.57,7.73,4.48,9.66,-1.99,16.4,-3,-5.34,-0.0328
"c","1","1","0",0.598,9.18,0.868,-3.2,5.84,13.9,12.5,13,8.98,9.51,-2.19,13.1,-2.98,-6.69,0.598
"c","0","1","0",-1.06,9.19,1.04,0.375,5.91,16.6,2.01,4.05,18.6,9.25,-1.99,13.7,-2.91,-6.65,-1.06
"c","1","1","0",0.0573,9.18,0.494,-6.72,6.01,3.68,2.85,6.23,9.02,8.9,-1.82,23,-2.78,-8.36,0.0573
"c","0","1","0",0.656,9.16,0.407,-0.383,6.11,5.51,4.84,12.5,23.6,8.5,-1.68,23.7,-2.65,-5.62,0.656
"b","0","1","0",-0.452,9.13,2.59,1.31,6.23,16.9,12.2,4.11,20.8,8.07,-1.59,13.6,-2.54,-7.12,-0.452
"c","0","1","0",-0.921,9.09,0.379,-2.77,6.33,14,5.42,13.5,12.2,7.66,-1.54,9.73,-2.48,-7.04,-0.921
"b","1","1","0",0.908,9.04,-0.352,-2.52,6.42,4.29,12.4,2.26,-7.91,7.28,-1.53,5.27,-2.51,-6.73,0.908
"b","0","0","0",-0.721,8.99,1.04,3.24,6.49,18.3,2.77,7.33,20.1,6.98,-1.57,15.9,-2.63,-6.71,-0.721
"b","0","0","0",-0.47,8.94,0.485,2.2,6.52,13,4.24,9.03,15.3,6.75,-1.65,15.1,-2.83,-7.31,-0.47
"b","1","1","0",-1.12,8.9,0.394,-3.05,6.52,6.72,4.62,-0.121,-10.9,6.61,-1.77,6.9,-3.06,-6.19,-1.12
"b","1","0","0",-0.714,8.86,1.13,1.45,6.5,0.844,3.38,7.55,14.4,6.55,-1.92,8.44,-3.28,-8.73,-0.714
"b","0","0","0",-0.286,8.84,2.22,3.38,6.48,11.9,6.63,5.18,26.7,6.56,-2.08,9.27,-3.45,-5.61,-0.286
"b","0","1","0",-1.21,8.83,0.835,1.08,6.46,9.98,6.37,9.27,25.1,6.63,-2.24,7.16,-3.55,-7.34,-1.21
"c","0","1","0",0.419,8.83,-0.197,-1.55,6.45,-2.49,9.39,4.96,10.8,6.73,-2.41,22.6,-3.58,-7.86,0.419
"b","0","0","0",0.0801,8.85,1.48,0.252,6.48,11.2,9.54,11.9,9.07,6.86,-2.56,10,-3.55,-8.41,0.0801
"b","1","1","0",0.16,8.89,2.6,-2.25,6.53,7.51,11.6,3.35,-9.29,6.98,-2.7,8.66,-3.48,-7.51,0.16
"b","1","1","0",-0.489,8.93,1.23,1.87,6.61,4.54,12.8,6.04,-2.11,7.09,-2.81,18.6,-3.38,-6.23,-0.489
"c","0","0","0",-0.349,8.98,1.9,3.61,6.7,-6.35,9.8,6.53,0.649,7.17,-2.88,6.91,-3.28,-6.8,-0.349
"b","1","1","0",-0.291,9.03,1.11,-6.16,6.78,1.26,10.7,13.1,7.69,7.23,-2.92,10.8,-3.17,-6.57,-0.291
"c","1","1","0",0.0939,9.08,0.778,-2.7,6.85,8.89,13.8,11.9,8.23,7.27,-2.91,10.3,-3.07,-7.66,0.0939
"b","1","0","0",-0.45,9.12,1.9,-3.78,6.9,13,6.97,7.51,-13.7,7.28,-2.88,10.1,-2.97,-6.02,-0.45
"b","0","1","0",0.116,9.14,2.13,-1.7,6.93,11.9,6.86,10.8,20.8,7.28,-2.84,16.3,-2.86,-7.71,0.116
"b","1","0","1",1.61,9.15,1.17,1.09,6.94,8.24,3.35,5.49,11.9,7.28,-2.8,5.46,-2.71,-7.4,1.61
"b","1","0","0",0.0245,9.14,1.19,-0.8,6.94,9.92,1.17,3.15,4.81,7.29,-2.79,5.29,-2.51,-7.7,0.0245
"c","1","0","0",0.446,9.11,0.735,-0.537,6.91,6.5,6.7,7.83,16.8,7.35,-2.81,8.15,-2.23,-8.01,0.446
"b","1","0","1",0.145,9.08,1.16,-1.62,6.88,2.28,6.42,6.14,-0.89,7.44,-2.88,6.48,-1.9,-7.53,0.145
"c","1","1","0",0.941,9.04,2.66,-0.0647,6.84,18,10.8,1.76,13.7,7.59,-2.97,17.6,-1.53,-5.84,0.941
"c","1","1","1",2.66,8.99,1.95,3.79,6.81,-5.47,11.7,3.98,-8.55,7.79,-3.09,17.4,-1.18,-7.87,2.66
"b","0","1","0",0.731,8.95,1.69,-1.29,6.78,0.908,12.9,9.76,1.46,8.03,-3.23,22.8,-0.903,-7.21,0.731
"b","1","0","1",-1.05,8.9,0.054,2.87,6.75,8.98,8.34,0.918,-5.24,8.29,-3.38,15.8,-0.728,-5.13,-1.05
"b","0","0","0",0.191,8.86,1.58,-3.6,6.71,19.4,5.38,10,-18.4,8.54,-3.53,12.9,-0.673,-6.07,0.191
"b","0","1","1",-0.629,8.83,1.26,-1.92,6.66,12.1,7.09,7.46,-8.14,8.77,-3.67,6.83,-0.738,-7.7,-0.629
"b","1","1","1",-1.22,8.81,1.29,4.84,6.6,0.781,9.5,7.99,21.4,8.94,-3.8,12.6,-0.917,-7.15,-1.22
"b","0","0","0",0.666,8.8,0.376,-2.68,6.53,3.69,13.1,2.12,16.8,9.02,-3.88,12,-1.2,-6.78,0.666
"c","0","0","1",2.49,8.8,2.44,3.34,6.46,17.4,4.99,11.9,12.4,9.01,-3.92,18.8,-1.6,-6.16,2.49
"c","0","0","0",1.25,8.82,0.402,1.62,6.38,23.2,9.66,5.96,19.7,8.9,-3.91,22.7,-2.09,-7.03,1.25
"b","0","0","0",-0.0231,8.85,2.55,-0.931,6.32,16.9,6.52,11.2,-2.23,8.68,-3.85,7.96,-2.66,-6.77,-0.0231
"b","1","0","1",0.192,8.89,0.156,2.32,6.29,17.3,6.91,9.2,7.67,8.38,-3.75,16.6,-3.28,-7.66,0.192
"b","1","0","1",0.189,8.95,0.13,-6.01,6.27,-1.46,4.8,3.59,6.63,8.02,-3.64,16,-3.92,-7.47,0.189
"b","0","1","1",0.305,9.01,2.74,-3.9,6.26,20.5,13.1,12.1,14,7.62,-3.53,18,-4.52,-6.11,0.305
"b","0","0","0",-0.386,9.09,2,3.05,6.26,4.96,4.67,3.63,4.26,7.2,-3.45,10.6,-5.04,-7.92,-0.386
"b","0","1","0",0.202,9.17,1.57,-8.67,6.25,-1.12,5.31,3.66,-9.54,6.79,-3.4,20.6,-5.42,-6.83,0.202
"b","1","1","0",-0.447,9.24,1.33,-5.14,6.23,16.7,8.37,3.07,-6.4,6.41,-3.39,16.4,-5.64,-6.77,-0.447
"c","1","1","1",0.832,9.31,0.434,-1.34,6.2,10.7,1.51,7.48,-4.07,6.1,-3.42,12.4,-5.66,-7.25,0.832
"b","0","1","0",-1.1,9.36,1.35,-2.39,6.16,17,7.83,6.72,-1.6,5.85,-3.5,14.6,-5.48,-7.86,-1.1
"c","1","1","0",-0.468,9.39,-0.00352,2.87,6.1,12.4,5.71,1.66,7.23,5.67,-3.63,20.5,-5.12,-6.66,-0.468
"b","1","0","1",-1.58,9.4,-0.0507,4.61,6.01,15.7,7.68,8.25,14,5.55,-3.78,10.8,-4.62,-7.9,-1.58
"c","1","0","0",0.0712,9.38,1.74,-1.58,5.9,8.31,8.81,8.66,8.77,5.49,-3.94,6.7,-4.05,-9.58,0.0712
"b","1","1","1",0.481,9.34,1.67,-0.207,5.77,5,13.6,9.74,2.01,5.48,-4.1,12.3,-3.48,-6.48,0.481
"c","1","1","0",-1.54,9.27,1.63,1.32,5.63,0.258,1.17,6.73,18.8,5.51,-4.25,15.2,-2.98,-6.77,-1.54
"b","1","1","0",-0.594,9.18,1.93,-4.05,5.47,12.3,3.77,8.41,20.4,5.57,-4.37,18.8,-2.91,-7.41,-0.594
"c","1","0","0",-0.927,9.09,1.24,1.78,5.33,5.77,2.78,7.01,1.32,5.67,-4.45,7.44,-2.37,-7.74,-0.927
"b","0","0","1",-1.35,9,-0.392,0.282,5.22,8.49,5.99,17.6,14.5,5.8,-4.47,10.6,-2.27,-7.52,-1.35
"c","1","1","0",-0.777,8.93,-0.436,-9.76,5.14,-2.15,2.65,14.7,2.3,5.97,-4.42,17.6,-2.27,-6.62,-0.777
"b","0","0","0",-0.424,8.88,-0.0261,2.31,5.12,12.5,13,18.2,17.4,6.19,-4.28,11.1,-2.34,-7.56,-0.424
"c","0","1","0",0.692,8.85,0.728,0.302,5.14,9.56,13.6,6.46,4.87,6.43,-4.07,18.3,-2.43,-7.68,0.692
"c","1","1","0",-1.52,8.86,2.2,2,5.2,12,6.81,2.34,16.4,6.7,-3.78,14,-2.5,-7.4,-1.52
"c","1","1","1",1.47,8.89,1.47,-6.16,5.31,18.9,3.43,0.0499,9.49,6.97,-3.43,17.6,-2.52,-6.31,1.47
"b","0","0","0",-0.652,8.95,-0.526,-2.34,5.43,15.1,2.26,5.42,16.7,7.2,-3.04,5.5,-2.5,-6.23,-0.652
"b","0","1","0",-0.853,9.01,1.08,1.25,5.56,19.9,7.39,2.21,15.2,7.37,-2.63,5.97,-2.46,-6.13,-0.853
"b","1","0","1",0.635,9.09,1.1,-2.69,5.68,4.77,9.73,6.06,15.9,7.47,-2.23,11.2,-2.4,-7.22,0.635
